"title","artist","album","source_count","sources"
"Lavender Buds","MF DOOM","Metal Fingers Presents: Special Herbs Vol. 5 & 6","3","Liked Songs; %^*+; Joo"
"One Beer","MF DOOM","MM..FOOD","3","Liked Songs; %^*+; Joo"
"Rhymes Like Dimes","MF DOOM, DJ Cucumber Slice","Operation: Doomsday (Complete)","3","Liked Songs; %^*+; Joo"
"Rapp Snitch Knishes (feat. Mr. Fantastik)","MF DOOM, Mr Fantastik","MM..FOOD","3","Liked Songs; %^*+; Joo"
"Doomsday","MF DOOM, Pebbles The Invisible Girl","Operation: Doomsday (Complete)","3","Liked Songs; %^*+; Joo"
"CHARGE DEM HOES A FEE (with Future & Travis Scott)","Playboi Carti, Future, Travis Scott","MUSIC","3","Liked Songs; CBC_00; K¥_00"
"M3tamorphosis (feat. Kid Cudi)","Playboi Carti, Kid Cudi","Whole Lotta Red","3","Liked Songs; CBC_00; K¥_00"
"Slayer","Radis","Acid Pirate 20","3","Liked Songs; Jawoll junge; Tekk"
"This Night Has Opened My Eyes - 2011 Remaster","The Smiths","Hatful of Hollow","3","Bbbnnnllö; YO; …"
"90210 (feat. Kacy Hill)","Travis Scott, Kacy Hill","Rodeo","3","Liked Songs; Joo; Tunes"
"BEST INTEREST","Tyler, The Creator","BEST INTEREST","3","Liked Songs; Fashion killa; Tunes"
"Hey Jane","Tyler, The Creator","CHROMAKOPIA","3","Liked Songs; Fashion killa; waves type playlist"
"I Hope You Find Your Way Home","Tyler, The Creator","CHROMAKOPIA","3","Liked Songs; Fashion killa; waves type playlist"
"Tomorrow","Tyler, The Creator","CHROMAKOPIA","3","Liked Songs; Fashion killa; waves type playlist"
"Potato Salad","Tyler, The Creator, A$AP Rocky","Potato Salad","3","Liked Songs; Fashion killa; Joo"
"Thought I Was Dead (feat. ScHoolboy Q & Santigold)","Tyler, The Creator, ScHoolboy Q, Santigold","CHROMAKOPIA","3","Liked Songs; %^*+; Fashion killa"
"Are You Bored Yet? (feat. Clairo)","Wallows, Clairo","Nothing Happens","3","Liked Songs; Fl; Tunes"
"pick up the phone (feat. Quavo)","Young Thug, Travis Scott, Quavo","Birds In The Trap Sing McKnight","3","Liked Songs; Tunes"
"Discoteca","&ME, Rampa, Adam Port, Keinemusik, Sofie Royer","Send Return","2","Chillout; Turn it up"
"dangerous","21 Savage, Lil Durk, Metro Boomin","american dream","2","Liked Songs; Tunes"
"Fashion Killa","A$AP Rocky","LONG.LIVE.A$AP (Deluxe Version)","2","Liked Songs; %^*+"
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar","LONG.LIVE.A$AP (Deluxe Version)","2","Liked Songs; Tunes"
"Purity (feat. Frank Ocean)","A$AP Rocky, Frank Ocean","TESTING","2","Liked Songs; Tralalelo Tralala"
"Ruby Rosary (feat. J. Cole)","A$AP Rocky, J. Cole","Ruby Rosary (feat. J. Cole)","2","Liked Songs; Joo"
